"mes_trigo","precio_dolar_trigo_ton","precio_COP_trigo_ton","año_impo","impo_canti_miles_ton","fecha_ipc","ipc %","fecha_trm","trm"
"5/1/2009","$ 261"," $  584,288 ","","","2014-05","0.48","5/1/2008"," $  55,030 "
"6/1/2009","$ 257"," $  535,860 ","","","2014-06","0.09","6/1/2008"," $  51,969 "
"7/1/2009","$ 225"," $  460,860 ","","","2014-07","0.15","7/1/2008"," $  55,212 "
"8/1/2009","$ 210"," $  424,708 ","","","2014-08","0.2","8/1/2008"," $  57,272 "
"9/1/2009","$ 191"," $  378,516 ","","","2014-09","0.14","9/1/2008"," $  61,986 "
"10/1/2009","$ 199"," $  377,389 ","","","2014-10","0.16","10/1/2008"," $  70,955 "
"11/1/2009","$ 211"," $  416,778 ","","","2014-11","0.13","11/1/2008"," $  70,010 "
"12/1/2009","$ 206"," $  415,945 ","","","2014-12","0.27","12/1/2008"," $  69,797 "
"1/1/2010","$ 201"," $  397,891 ","","","2015-01","0.64","1/1/2009"," $  69,859 "
"2/1/2010","$ 194"," $  378,861 ","","","2015-02","1.15","2/1/2009"," $  70,346 "
"3/1/2010","$ 191"," $  364,993 ","","","2015-03","0.59","3/1/2009"," $  76,559 "
"4/1/2010","$ 193"," $  373,624 ","","","2015-04","0.54","4/1/2009"," $  71,238 "
"5/1/2010","$ 182"," $  360,348 ","","","2015-05","0.26","5/1/2009"," $  69,047 "
"6/1/2010","$ 158"," $  303,715 ","","","2015-06","0.1","6/1/2009"," $  62,684 "
"7/1/2010","$ 196"," $  367,237 ","","","2015-07","0.19","7/1/2009"," $  63,526 "
"8/1/2010","$ 246"," $  447,683 ","","","2015-08","0.48","8/1/2009"," $  62,546 "
"9/1/2010","$ 272"," $  490,449 ","","","2015-09","0.72","9/1/2009"," $  59,341 "
"10/1/2010","$ 270"," $  488,771 ","","","2015-10","0.68","10/1/2009"," $  58,943 "
"11/1/2010","$ 274"," $  509,580 ","","","2015-11","0.6","11/1/2009"," $  59,306 "
"12/1/2010","$ 307"," $  590,328 ","","","2015-12","0.62","12/1/2009"," $  62,558 "
"1/1/2011","$ 327"," $  608,645 ","","","2016-01","1.29","1/1/2010"," $  61,486 "
"2/1/2011","$ 348"," $  656,874 ","","","2016-02","1.28","2/1/2010"," $  54,648 "
"3/1/2011","$ 317"," $  597,890 ","","","2016-03","0.94","3/1/2010"," $  59,179 "
"4/1/2011","$ 336"," $  608,175 ","","","2016-04","0.5","4/1/2010"," $  58,123 "
"5/1/2011","$ 355"," $  639,825 ","","","2016-05","0.51","5/1/2010"," $  61,491 "
"6/1/2011","$ 326"," $  582,008 ","","","2016-06","0.48","6/1/2010"," $  57,805 "
"7/1/2011","$ 304"," $  535,500 ","","","2016-07","0.52","7/1/2010"," $  58,107 "
"8/1/2011","$ 327"," $  583,808 ","","","2016-08","-0.32","8/1/2010"," $  56,457 "
"9/1/2011","$ 316"," $  581,030 ","","","2016-09","-0.05","9/1/2010"," $  54,173 "
"10/1/2011","$ 289"," $  551,853 ","","","2016-10","-0.06","10/1/2010"," $  56,067 "
"11/1/2011","$ 281"," $  538,543 ","","","2016-11","0.11","11/1/2010"," $  55,890 "
"12/1/2011","$ 269"," $  520,461 ","","","2016-12","0.42","12/1/2010"," $  59,592 "
"1/1/2012","$ 275"," $  508,476 ","","","2017-01","1.02","1/1/2011"," $  57,879 "
"2/1/2012","$ 278"," $  494,860 ","","","2017-02","1.01","2/1/2011"," $  52,706 "
"3/1/2012","$ 284"," $  501,429 ","","","2017-03","0.47","3/1/2011"," $  58,336 "
"4/1/2012","$ 266"," $  472,671 ","","","2017-04","0.47","4/1/2011"," $  54,295 "
"5/1/2012","$ 264"," $  472,931 ","","","2017-05","0.23","5/1/2011"," $  55,816 "
"6/1/2012","$ 276"," $  493,835 ","","","2017-06","0.11","6/1/2011"," $  53,495 "
"7/1/2012","$ 346"," $  616,932 ","","","2017-07","-0.05","7/1/2011"," $  54,609 "
"8/1/2012","$ 349"," $  631,063 ","","","2017-08","0.14","8/1/2011"," $  55,352 "
"9/1/2012","$ 353"," $  636,864 ","","","2017-09","0.04","9/1/2011"," $  55,000 "
"10/1/2012","$ 358"," $  645,397 ","","","2017-10","0.02","10/1/2011"," $  59,136 "
"11/1/2012","$ 361"," $  656,743 ","","","2017-11","0.18","11/1/2011"," $  57,584 "
"12/1/2012","$ 348"," $  625,272 ","","","2017-12","0.38","12/1/2011"," $  59,934 "
"1/1/2013","$ 335"," $  593,858 ","","","2018-01","0.63","1/1/2012"," $  57,452 "
"2/1/2013","$ 319"," $  571,133 ","","","2018-02","0.71","2/1/2012"," $  51,700 "
"3/1/2013","$ 310"," $  561,376 ","","","2018-03","0.24","3/1/2012"," $  54,756 "
"4/1/2013","$ 308"," $  564,327 ","","","2018-04","0.46","4/1/2012"," $  53,227 "
"5/1/2013","$ 320"," $  590,505 ","","","2018-05","0.25","5/1/2012"," $  55,592 "
"6/1/2013","$ 313"," $  597,546 ","","","2018-06","0.15","6/1/2012"," $  53,776 "
"7/1/2013","$ 305"," $  579,582 ","","","2018-07","-0.13","7/1/2012"," $  55,298 "
"8/1/2013","$ 305"," $  581,312 ","","","2018-08","0.12","8/1/2012"," $  55,971 "
"9/1/2013","$ 308"," $  590,051 ","","","2018-09","0.16","9/1/2012"," $  54,082 "
"10/1/2013","$ 326"," $  614,224 ","","","2018-10","0.12","10/1/2012"," $  55,936 "
"11/1/2013","$ 307"," $  589,052 ","","","2018-11","0.12","11/1/2012"," $  54,630 "
"12/1/2013","$ 292"," $  564,389 ","","","2018-12","0.3","12/1/2012"," $  55,567 "
"1/1/2014","$ 276"," $  540,718 ","","","2019-01","0.6","1/1/2013"," $  54,860 "
"2/1/2014","$ 292"," $  596,083 ","","","2019-02","0.57","2/1/2013"," $  50,135 "
"3/1/2014","$ 324"," $  654,273 ","","","2019-03","0.43","3/1/2013"," $  56,226 "
"4/1/2014","$ 325"," $  629,861 ","","","2019-04","0.5","4/1/2013"," $  54,907 "
"5/1/2014","$ 335"," $  641,769 ","","","2019-05","0.31","5/1/2013"," $  57,286 "
"6/1/2014","$ 306"," $  578,707 ","","","2019-06","0.27","6/1/2013"," $  57,295 "
"7/1/2014","$ 280"," $  521,113 ","","","2019-07","0.22","7/1/2013"," $  58,948 "
"8/1/2014","$ 263"," $  500,123 ","","","2019-08","0.09","8/1/2013"," $  58,965 "
"9/1/2014","$ 244"," $  480,831 ","","","2019-09","0.23","9/1/2013"," $  57,585 "
"10/1/2014","$ 245"," $  502,427 ","","","2019-10","0.16","10/1/2013"," $  58,439 "
"11/1/2014","$ 259"," $  549,050 ","","","2019-11","0.1","11/1/2013"," $  57,653 "
"12/1/2014","$ 270"," $  631,204 ","","","2019-12","0.26","12/1/2013"," $  59,922 "
"1/1/2015","$ 248"," $  595,824 ","","","2020-01","0.42","1/1/2014"," $  60,676 "
"2/1/2015","$ 237"," $  574,794 ","","","2020-02","0.67","2/1/2014"," $  57,078 "
"3/1/2015","$ 231"," $  596,853 ","","","2020-03","0.57","3/1/2014"," $  62,611 "
"4/1/2015","$ 223"," $  557,468 ","","","2020-04","0.16","4/1/2014"," $  58,151 "
"5/1/2015","$ 215"," $  524,453 ","","","2020-05","-0.32","5/1/2014"," $  59,376 "
"6/1/2015","$ 210"," $  536,257 ","","","2020-06","-0.38","6/1/2014"," $  56,611 "
